Fiscal Year,US Category Name,US Sector Name,Current Dollar Amount,Activity Name,Implementing Partner Category Name,Implementing Partner Sub-category ID,Implementing Partner Name
2023,Economic Development,Private Sector Competitiveness,1266329,Investment Promotion Activity,Enterprises,Enterprises - United States,"Chemonics International, Inc."
2023,Peace and Security,Conflict Mitigation and Reconciliation,1197054,Land Registration in Merged Areas,Enterprises,Enterprises - United States,"Development Alternatives, Inc."
2023,Economic Development,Infrastructure,1163603,FATA Infrastructure Project (FIP),Government,Government - Non United States,Government of Pakistan
2023,Peace and Security,Conflict Mitigation and Reconciliation,1096074,Sindh Municipal Service Development Program,Government,Government - Non United States,Government of Pakistan - Government of Sindh
2023,Economic Development,Private Sector Competitiveness,1054784,Small and Medium Enterprise Activity (SMEA),Enterprises,Enterprises - United States,"Chemonics International, Inc."
2023,Humanitarian Assistance,"Protection, Assistance and Solutions",1020417,"Protection, Assistance and Solutions",Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,"Democracy, Human Rights, and Governance",Good Governance,879524,TheKhyber PakhtunkhwaResourceMobilization(KPRM),Enterprises,Enterprises - United States,"Chemonics International, Inc."
2023,Economic Development,Infrastructure,850000,PAKISTAN PRIVATE SECTOR ENERGY (PPSE) ACTIVITY,Multilateral,Multilateral - United Nations,United Nations Industrial Development Organisation
2023,Humanitarian Assistance,"Protection, Assistance and Solutions",828640,"Protection, Assistance and Solutions",Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,818186,Public International Organization - Federally Administered Tribal Areas (FATA) Community Resilience Activity (CRA),Multilateral,Multilateral - Other,International Organisation for Migration
2023,Health,Pandemic Influenza and Other Emerging Threats (PIOET),768995,Integrated Health Systems Strengthening and Service Delivery Activity (IHSS-SD),NGO,NGO - United States,John Snow International
2023,Economic Development,Agriculture,750657,Economic Recovery and Development Activity,Enterprises,Enterprises - Non United States,Associates in Development Pvt. Ltd.
2023,Economic Development,Private Sector Competitiveness,745590,Womens Economic and Social Empowerment (Transform),NGO,NGO - International,International Rescue Committee
2023,Economic Development,Agriculture,728260,Support for USAID/Pakistan's Water Management for Enhanced Productivity (WMfEP),Multilateral,Multilateral - Other,International Water Management Institute
2023,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,641398,Mission Support,NGO,NGO - United States,Consortium for Elections and Political Process Strengthening
2023,Economic Development,Infrastructure,620640,Government-to-Government Monitoring,Enterprises,Enterprises - United States,CDM Corporation
2023,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,576503,Public International Organization - Federally Administered Tribal Areas (FATA) Community Resilience Activity (CRA),Multilateral,Multilateral - Other,International Organisation for Migration
2023,Humanitarian Assistance,"Protection, Assistance and Solutions",527433,Humanitarian Assistance - provide rapid response humanitarian assistance in conflict and natural disaster affected areas,NGO,NGO - United States,NGO - United States Redacted
2023,Education and Social Services,Higher Education,519121,USAID HEC Merit and Needs Based Scholarship Program,Government,Government - Non United States,Government of Pakistan - Higher Education Commission
2023,"Democracy, Human Rights, and Governance",Civil Society,499887,Community Resilience Activity (CRA),Enterprises,Enterprises - United States,"Development Alternatives, Inc."
2023,Program Support,Direct Administrative Costs,489803,USAID Travel and Transportation,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2023,"Democracy, Human Rights, and Governance",Good Governance,468368,Emergency food assistance,Multilateral,Multilateral - United Nations,Food and Agriculture Organisation
2023,Peace and Security,Conflict Mitigation and Reconciliation,452045,PIO grant to UNDP for FATA Reforms Support Activity,Multilateral,Multilateral - United Nations,United Nations Development Programme
2023,Program Support,Direct Administrative Costs,437290,Pakistan Capacity Development Services (PCDS),Enterprises,Enterprises - United States,"IBI International, Inc."
2023,Economic Development,Trade and Investment,431662,Pakistan Regional Integration Activity (PREIA),Enterprises,Enterprises - United States,"Development Alternatives, Inc."
2023,Program Support,Direct Administrative Costs,430595,"USAID Miscellaneous Goods, Services, and Operations Maintanence",Government,Government - United States,U.S. Government - Department of State
2023,Economic Development,Private Sector Competitiveness,403275,Pakistan Regional Integration Activity (PREIA),Enterprises,Enterprises - United States,"Development Alternatives, Inc."
2023,Humanitarian Assistance,"Protection, Assistance and Solutions",397959,Humanitarian Coordination,Multilateral,Multilateral - United Nations,Multilateral - United Nations Organization Redacted
2023,Peace and Security,Conflict Mitigation and Reconciliation,385000,Support for USAID/Pakistan's Water Management for Enhanced Productivity (WMfEP),Multilateral,Multilateral - Other,International Water Management Institute
2023,Program Support,Direct Administrative Costs,363626,Operations and Maintenance Support for USAID IT Services,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Economic Development,Infrastructure,358025,Indefinite Delivery / Indefinite Quantity (IDIQ),Enterprises,Enterprises - United States,CDM Corporation
2023,Economic Development,Infrastructure,342484,Financial Management Support Services,Enterprises,Enterprises - United States,"Chemonics International, Inc."
2023,Education and Social Services,Basic Education,329393,FATA Infrastructure Project (FIP),Government,Government - Non United States,Government of Pakistan
2023,Humanitarian Assistance,"Protection, Assistance and Solutions",324355,Humanitarian assistance,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2023,Economic Development,Agriculture,319719,Gomal Zam Command Area,Government,Government - Non United States,Government of Pakistan
2023,Peace and Security,Conflict Mitigation and Reconciliation,315955,FATA Infrastructure Project (FIP),Government,Government - Non United States,Government of Pakistan
2023,Health,Maternal and Child Health,307860,Promoting the Quality of Medicines Plus (PQM+),NGO,NGO - United States,NGO - United States Redacted
2023,"Democracy, Human Rights, and Governance",Civil Society,305494,Building Peace in Pakistan Activity,Government,Government - United States,U.S. Government - U.S. Institute for Peace
2023,Program Support,Direct Administrative Costs,275393,USAID Travel and Transportation,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2023,Program Support,Direct Administrative Costs,267416,International Cooperative Administrative Support Services (ICASS),Government,Government - United States,U.S. Government - Department of State
2023,Education and Social Services,Basic Education,266582,Agreement with Provincial Reconstruction Rehabilitation & Settlement Authority reconstruciton of 31 flood damaged schools,Government,Government - Non United States,Government of Pakistan
2023,Economic Development,Infrastructure,251540,FATA Infrastructure Project (FIP),Government,Government - Non United States,Government of Pakistan
2023,Health,Maternal and Child Health,246632,Polio Immunization Funding,Multilateral,Multilateral - United Nations,World Health Organisation
2023,Peace and Security,Conflict Mitigation and Reconciliation,245699,Indefinite Delivery / Indefinite Quantity (IDIQ),Enterprises,Enterprises - United States,CDM Corporation
2023,Health,Nutrition,230000,Building Health Families Activity,NGO,NGO - United States,Pathfinder International
2023,Program Support,Direct Administrative Costs,225892,Program Design and Learning,Enterprises,Enterprises - United States,Kaizen Company
2023,Program Support,Direct Administrative Costs,221611,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Economic Development,Agriculture,221162,Inter Agency Agreement with USDA - DO2 - Pakistan Soil Fertility Program,Government,Government - United States,U.S. Government - Department of Agriculture
2023,Education and Social Services,Basic Education,217000,Basic Education,Enterprises,Enterprises - Non United States,Echo West International (Pvt) Ltd.
2023,Economic Development,Private Sector Competitiveness,206854,Pakistan Private Investment Initiative (PPII) Project,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2023,Peace and Security,Conflict Mitigation and Reconciliation,202256,FATA Infrastructure Project (FIP),Government,Government - Non United States,Government of Pakistan
2023,Economic Development,Infrastructure,193134,FATA Infrastructure Program,Government,Government - Non United States,Government of Pakistan
2023,Economic Development,Trade and Investment,191321,Inter-Agency Agreement with Commercial Law Development Program (CLDP) for Pakistan,Government,Government - United States,U.S. Government - Department of Commerce
2023,Health,Family Planning and Reproductive Health,190000,Building Health Families Activity,NGO,NGO - United States,Pathfinder International
2023,Humanitarian Assistance,"Protection, Assistance and Solutions",187177,Humanitarian Assistance,Multilateral,Multilateral - United Nations,World Food Program
2023,Education and Social Services,Basic Education,186519,Architect Engineer Services Services for Construction of Schools under SBEP,Enterprises,Enterprises - United States,Halcrow Group Ltd.
2023,Economic Development,Agriculture,173306,Agricultural Sector Capacity,Government,Government - United States,U.S. Government - Department of Agriculture
2023,Health,Pandemic Influenza and Other Emerging Threats (PIOET),171567,Global Health Supply Chain - Procurement and Supply Management (GSHC-PSM) IDIQ - HIV/AIDS Task Order,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Peace and Security,Conflict Mitigation and Reconciliation,170297,FATA Infrastructure Program,Government,Government - Non United States,Government of Pakistan
2023,Program Support,Direct Administrative Costs,164226,USAID Advisory and Assistance Services,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2023,Health,Pandemic Influenza and Other Emerging Threats (PIOET),162717,Global Health Supply Chain - Procurement and Supply Management (GSHC-PSM) IDIQ - HIV/AIDS Task Order,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Health,Pandemic Influenza and Other Emerging Threats (PIOET),158731,Global Health Supply Chain - Procurement and Supply Management (GSHC-PSM) IDIQ - HIV/AIDS Task Order,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Peace and Security,Conflict Mitigation and Reconciliation,158367,ARCHITECT AND ENGINEERING SERVICES FOR THIRD PARTY MONITORING ACTIVITY FOR MUNICIPAL SERVICES PROGRAM-SINDH,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2023,Education and Social Services,Basic Education,157796,Sindh Community Mobilization Program (SCMP),NGO,NGO - United States,Blumont Global Development
2023,Economic Development,Economic Opportunity,150085,Small and Medium Enterprise Activity (SMEA),Enterprises,Enterprises - United States,"Chemonics International, Inc."
2023,Economic Development,Infrastructure,147848,FATA Secretariat Support,Government,Government - Non United States,Government of Pakistan
2023,Education and Social Services,Basic Education,141340,Agreement with Provincial Reconstruction Rehabilitation & Settlement Authority for 63 Flood Damaged Schools,Government,Government - Non United States,Government of Pakistan
2023,Peace and Security,Conflict Mitigation and Reconciliation,139692,Building Peace in Pakistan Activity,Government,Government - United States,U.S. Government - U.S. Institute for Peace
2023,"Democracy, Human Rights, and Governance",Good Governance,134867,"Agreement with Provincial Reconstruction Rehabilitation & Settlement Authority for Enhancing Gov Capacity,Con of Tehsil level complex",Government,Government - Non United States,Government of Pakistan
2023,Program Support,Direct Administrative Costs,132177,USAID Advisory and Assistance Services,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2023,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,127385,Building Peace in Pakistan Activity,Government,Government - United States,U.S. Government - U.S. Institute for Peace
2023,Health,HIV/AIDS,124077,Global Health Supply Chain - Procurement and Supply Management (GSHC-PSM) IDIQ - HIV/AIDS Task Order,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Economic Development,Infrastructure,123813,USAID Pay and Benefits,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2023,Program Support,Direct Administrative Costs,122213,"Provide Procurement Support Services To Washington, Dc Offices And Overseas Field Missions.",Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Peace and Security,Conflict Mitigation and Reconciliation,121722,Improving Girls Education Activity (IGEA),Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2023,Humanitarian Assistance,Disaster Readiness,113164,Disaster Readiness,NGO,NGO - United States,NGO - United States Redacted
2023,Program Support,Direct Administrative Costs,103108,Program Design and Learning,Enterprises,Enterprises - Non United States,Associates in Development Pvt. Ltd.
2023,Humanitarian Assistance,"Protection, Assistance and Solutions",100000,"Protection, Assistance and Solutions",NGO,NGO - United States,NGO - United States Redacted
2023,Program Support,Direct Administrative Costs,99859,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Economic Development,Financial Sector,92278,Pakistan Regional Integration Activity (PREIA),Enterprises,Enterprises - United States,"Development Alternatives, Inc."
2023,Health,Water Supply and Sanitation,91425,WATER GOVERNANCE FOR SINDH ACTIVITY (WGSA) WITH A LOCAL ORGANIZATION,NGO,NGO - Non United States,Health and Nutrition Development Society
2023,Program Support,Direct Administrative Costs,90373,USAID Pay and Benefits,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Program Support,Direct Administrative Costs,89759,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,"Democracy, Human Rights, and Governance",Good Governance,82674,Mission Support,NGO,NGO - United States,Consortium for Elections and Political Process Strengthening
2023,Economic Development,Infrastructure,82102,Tarbela Dam Repair and Maintenance Phase 2,Government,Government - Non United States,Government of Pakistan
2023,Health,Family Planning and Reproductive Health,80214,Family Planning and Reproductive Health,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Program Support,Direct Administrative Costs,75790,Operations and Maintenance Support for USAID IT Services,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Program Support,Direct Administrative Costs,71809,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,"Democracy, Human Rights, and Governance",Civil Society,68700,Mission Support,NGO,NGO - United States,Consortium for Elections and Political Process Strengthening
2023,Economic Development,Agriculture,65248,Agricultural Enabling Environment,Enterprises,Enterprises - United States,Halcrow Group Ltd.
2023,Health,Maternal and Child Health,64555,Maternal and Child Health,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2023,Program Support,Direct Administrative Costs,62224,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Humanitarian Assistance,Disaster Readiness,61033,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Multilateral,Multilateral - United Nations,Multilateral - United Nations Organization Redacted
2023,Education and Social Services,Basic Education,60181,Basic Education,Enterprises,Enterprises - Non United States,Associates in Development Pvt. Ltd.
2023,Health,Family Planning and Reproductive Health,59580,MOMENTUM 2A - Global Technical Leadership and Targeted Technical Assistance for MNCH/FP/RH,NGO,NGO - United States,Jhpiego Corporation
2023,Program Support,Direct Administrative Costs,57864,USAID Pay and Benefits,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2023,Humanitarian Assistance,"Protection, Assistance and Solutions",57325,"Protection, Assistance and Solutions",Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Education and Social Services,Basic Education,55048,Agreement with Provincial Reconstruction Rehabilitation & Settlement Authority for School reconstruction,Government,Government - Non United States,Government of Pakistan
2023,Program Support,Direct Administrative Costs,53968,USAID Pay and Benefits,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2023,Economic Development,Mining and Natural Resources,50000,"Feasibility Study - Landhi Cattle Colony Biomethane Project, through Seaspire Advisors, LLC",Enterprises,Enterprises - United States,"Seaspire Advisors, LLC"
2023,Program Support,Direct Administrative Costs,49602,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Peace and Security,Conflict Mitigation and Reconciliation,49203,Conflict Mitigation,Government,Government - Non United States,Government of Pakistan
2023,Program Support,Direct Administrative Costs,49196,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,"Democracy, Human Rights, and Governance",Good Governance,47743,Khyber Pakhtunkhwa Municipal Services Program,Government,Government - Non United States,Government of Pakistan - Khyber Pakhtunkhwa Province
2023,Program Support,Direct Administrative Costs,47131,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Program Support,Direct Administrative Costs,46497,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Program Support,Direct Administrative Costs,43282,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Program Support,Direct Administrative Costs,42241,"USAID Communications, Utilities, and Rental Payments",Government,Government - United States,U.S. Government - Department of State
2023,Education and Social Services,Basic Education,38948,Agreement with Provincial Reconstruction Rehabilitation & Settlement Authority for Flood/Bomb blast Damaged Schools,Government,Government - Non United States,Government of Pakistan
2023,Health,Family Planning and Reproductive Health,36908,Strengthening Technical Capacity of Department of Health,Government,Government - Non United States,Government - Country Other
2023,Economic Development,Infrastructure,36227,Technical Collaboration on Advanced Energy Systems,Government,Government - United States,U.S. Government - Department of Energy
2023,Program Support,Direct Administrative Costs,35719,"USAID Communications, Utilities, and Rental Payments",Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Humanitarian Assistance,Disaster Readiness,35662,Disaster Readiness,NGO,NGO - Non United States,NGO - Non United States Redacted
2023,Program Support,Direct Administrative Costs,31205,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Program Support,Direct Administrative Costs,29561,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Humanitarian Assistance,Disaster Readiness,27603,USAID Travel and Transportation,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2023,Program Support,Direct Administrative Costs,26240,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,"Democracy, Human Rights, and Governance",Good Governance,26073,Khyber Pakhtunkhwa Municipal Services Program,Government,Government - Non United States,Government of Pakistan - Khyber Pakhtunkhwa Province
2023,Program Support,Direct Administrative Costs,25970,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Program Support,Direct Administrative Costs,25324,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Program Support,Direct Administrative Costs,24821,"USAID Miscellaneous Goods, Services, and Operations Maintanence",Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Program Support,Direct Administrative Costs,22189,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Program Support,Direct Administrative Costs,21656,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Peace and Security,Conflict Mitigation and Reconciliation,21622,Building Peace in Pakistan Activity,Government,Government - United States,U.S. Government - U.S. Institute for Peace
2023,Program Support,Direct Administrative Costs,20976,USAID Travel and Transportation,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Economic Development,Economic Opportunity,20970,Pakistan Regional Integration Activity (PREIA),Enterprises,Enterprises - United States,"Development Alternatives, Inc."
2023,Education and Social Services,Basic Education,20470,"FATA Infrastructure Project (FIP): Schools in Orakzai, 5 School in Kurram",Government,Government - Non United States,Government of Pakistan
2023,Economic Development,Private Sector Competitiveness,18737,Pakistan Private Investment Initiative (PPII) Project,Enterprises,Enterprises - Non United States,JSPE Management LLC
2023,Health,Maternal and Child Health,18652,USAID Travel and Transportation,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2023,Program Support,Direct Administrative Costs,15685,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Program Support,Direct Administrative Costs,13945,Financial Management Support Services,Enterprises,Enterprises - United States,"Chemonics International, Inc."
2023,Program Support,Direct Administrative Costs,13593,Operations and Maintenance Support for USAID IT Services,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Program Support,Direct Administrative Costs,13231,USAID Advisory and Assistance Services,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2023,Program Support,Direct Administrative Costs,12010,Program Design and Learning,Enterprises,Enterprises - Non United States,Associates in Development Pvt. Ltd.
2023,Program Support,Direct Administrative Costs,10863,USAID Advisory and Assistance Services,Government,Government - United States,U.S. Government - Department of State
2023,Program Support,Direct Administrative Costs,10840,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Program Support,Direct Administrative Costs,10576,"USAID Communications, Utilities, and Rental Payments",Government,Government - United States,U.S. Government - Department of State
2023,Program Support,Direct Administrative Costs,10157,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Program Support,Direct Administrative Costs,10152,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Program Support,Direct Administrative Costs,10000,"USAID Communications, Utilities, and Rental Payments",Government,Government - United States,U.S. Government - Department of State
2023,Program Support,Direct Administrative Costs,9576,USAID Travel and Transportation,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2023,Program Support,Direct Administrative Costs,8880,Blanket Purchase Agreement to procure IT equipment,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Program Support,Direct Administrative Costs,8149,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Program Support,Direct Administrative Costs,7980,USAID Pay and Benefits,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2023,Program Support,Direct Administrative Costs,7629,USAID Advisory and Assistance Services,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Health,Maternal and Child Health,7465,Strengthening Technical Capacity of Department of Health,Government,Government - Non United States,Government - Country Other
2023,Program Support,Direct Administrative Costs,6988,"USAID Miscellaneous Goods, Services, and Operations Maintanence",Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Economic Development,Agriculture,6937,Punjab Enabling Environment Project,Enterprises,Enterprises - United States,"Chemonics International, Inc."
2023,Program Support,Direct Administrative Costs,6778,"USAID Communications, Utilities, and Rental Payments",Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Program Support,Direct Administrative Costs,6393,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Program Support,Direct Administrative Costs,6284,Administration and Oversight,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2023,Program Support,Direct Administrative Costs,5995,USAID Travel and Transportation,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2023,Program Support,Direct Administrative Costs,5935,Administration and Oversight,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Program Support,Direct Administrative Costs,5737,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Program Support,Direct Administrative Costs,5000,"USAID Miscellaneous Goods, Services, and Operations Maintanence",Government,Government - United States,U.S. Government - Department of State
2023,Humanitarian Assistance,"Protection, Assistance and Solutions",4832,USAID Travel and Transportation,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2023,Program Support,Direct Administrative Costs,4827,USAID Advisory and Assistance Services,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Program Support,Direct Administrative Costs,4803,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Program Support,Direct Administrative Costs,4710,USAID Travel and Transportation,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Health,Maternal and Child Health,4645,Health System Strengthening Project,NGO,NGO - United States,John Snow International
